code;new_category (pnns_groups_2)
5,90473E+12;Teas and herbal teas and coffee
6,40843E+12;Fruit juices
6,40866E+12;Milk and yogurt
6,41041E+12;Teas and herbal teas and coffee
6,41102E+12;Teas and herbal teas and coffee
6,43006E+12;Teas and herbal teas and coffee
6,41345E+12;Teas and herbal teas and coffee
5,02199E+12;Teas and herbal teas and coffee
7,34019E+12;Teas and herbal teas and coffee
5,03886E+12;Fruit juices
70177084745;Teas and herbal teas and coffee
4,796E+12;Teas and herbal teas and coffee
6,41041E+12;Fruit juices
8,7121E+12;Teas and herbal teas and coffee
6,41345E+12;Teas and herbal teas and coffee
70177175221;Teas and herbal teas and coffee
6,40843E+12;Milk and yogurt
6,41489E+12;Fruit juices
6,41102E+12;Teas and herbal teas and coffee
6,41102E+12;Teas and herbal teas and coffee
6,41345E+12;Teas and herbal teas and coffee
7,34001E+12;Plant-based milk substitutes
6,40843E+12;Fruit juices
6,41102E+12;Teas and herbal teas and coffee
6,41513E+12;Fruit juices
6,4283E+12;Teas and herbal teas and coffee
6,40953E+12;Canned foods
6,4104E+12;Canned foods
6,40905E+12;One-dish meals
6,40953E+12;Canned foods
6,40843E+12;Milk and yogurt
5,71195E+12;Milk and yogurt
6,41571E+12;Sweetened beverages
6,40843E+12;Milk and yogurt
6,40843E+12;Milk and yogurt
6,4133E+12;Milk and yogurt
6,40843E+12;Milk and yogurt
20885472;Sweetened beverages
6,43005E+12;Sweetened beverages
6,41041E+12;Canned foods
6,42026E+12;Canned foods
6,42026E+12;Canned foods
8,00846E+12;Canned foods
20196950;One-dish meals
6,41041E+12;Fruit juices
6,41513E+12;Fruit juices
8,59387E+12;Alcoholic beverages
6,41041E+12;Fruit juices
7,31144E+12;Fruit juices
20556372;Alcoholic beverages
3,08022E+12;Alcoholic beverages
4,7401E+12;Alcoholic beverages
6,4156E+12;Alcoholic beverages
6,4156E+12;Alcoholic beverages
6,4136E+12;Artificially sweetened beverages
6,4136E+12;Artificially sweetened beverages
6,4156E+12;Artificially sweetened beverages
6,43846E+12;Artificially sweetened beverages
6,4136E+12;Artificially sweetened beverages
6,4136E+12;Artificially sweetened beverages
6,4136E+12;Artificially sweetened beverages
6,4156E+12;Artificially sweetened beverages
6,4078E+12;Beef
6,43001E+12;Biscuits and cakes
20546090;Biscuits and cakes
3,8501E+12;Biscuits and cakes
6,41572E+12;Biscuits and cakes
4,05649E+12;Bread
7,34001E+12;Canned foods
6,41571E+12;Canned foods
6,40722E+12;Canned foods
6,40722E+12;Canned foods
6,43846E+12;Canned foods
6,47878E+11;Canned foods
4,751E+12;Canned foods
6,41571E+12;Canned foods
6,41572E+12;Canned foods
6,41572E+12;Canned foods
8,00552E+12;Canned foods
8,00883E+12;Canned foods
