code,product_name,quantity,packaging_en,brands_en,categories_en,origins_en,labels_en,countries_en,nutriscore_grade,pnns_groups_1,pnns_groups_2,food_groups_en,environmental_score_score,environmental_score_grade,main_category_en,carbon-footprint_100g,carbon-footprint-from-meat-or-fish_100g
8719324144070,"Classic style vanille","125 g","Plastic,Paper","Happy-coco","Plant-based foods and beverages,Fermented foods,Dairy substitutes,Desserts,Non-dairy desserts,Non-dairy fermented foods,Non-dairy yogurts,Coconutmilk yogurts","","Organic,Vegetarian,EU Organic,Non-EU Agriculture,Vegan,EG-Öko-Verordnung,Carbon compensated product,CO2e neutral,EU Agriculture,EU/non-EU Agriculture,Nl-bio-001","Finland,France,Sweden","c","Sugary snacks","Sweets","Sugary snacks,Sweets",,"unknown","Coconutmilk yogurts","",""
8801073910270,"Buldak Tteokbokki","185 g","Plastic,Pp-polypropylene,Cardboard,Kartonki,Muovi","samyang","Plant-based foods and beverages,Plant-based foods,Meals,Pastas","","","Finland,Spain","d","Cereals and potatoes","Cereals","Cereals and potatoes,Cereals",,"unknown","Pastas","",""
8858984830524,"Thai Cube - Red Curry Vegetable","350 g","Plastic,Paper","Kitchen-joy","Meals,Rice dishes,Microwave meals","","Halal","Finland,Sweden","c","Composite foods","One-dish meals","Composite foods,One-dish meals",,"unknown","Microwave meals","",""
9001536015187,"Pizza Kit","600 g","Metal,Plastic,fi:lasi,fi:pahvi","wewalka","Meals,Pizzas pies and quiches,Pizzas,Meal kits,fr:kits-pour-pizzas","","Vegetarian,No artificial flavors,Vegan,No artificial colors,No flavour enhancer,fi:ei-hydrogenoitua-öljyä","Denmark,Finland,France,Norway,Sweden","e","Composite foods","Pizza pies and quiches","Composite foods,Pizza pies and quiches",,"unknown","fr:kits-pour-pizzas","",""
70177175221,"Green tea & Ginger","","Plastic,Cardboard,Non-corrugated cardboard,Pp-polypropylene","Haugen-gruppen-as","Plant-based foods and beverages,Beverages,Hot beverages,Plant-based beverages,Teas,Green teas","China","No gluten,Green Dot","Finland","unknown","Beverages","Unsweetened beverages","Beverages,Unsweetened beverages",86,"a","Green teas","",""
20011161,"Pullaviipaleet","400 g","Plastic","Leipa-aitta","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Condiments,Seeds,Cereals and their products,Cereal grains,Spices,Chili peppers,fr:Pulla,fi:leivonnainen,fi:siivuttu-pitko","Finland","fi:Hyvää Suomesta,fi:valmistettu-suomessa","Finland","not-applicable","Cereals and potatoes","Cereals","Cereals and potatoes,Cereals",97,"a-plus","fi:siivuttu-pitko","",""
20039769,"Maustamaton kanan jauheliha 5%","700 g","Plastic","Kanamestari","Meats and their products,Meat preparations,Meats,Chicken and its products,Poultries,Chickens,Ground meat preparations,fi:kanan-jauheliha","Finland","No antibiotics,No GMOs,fi:Hyvää Suomesta,fi:Sydänmerkki,fi:maustamaton","Finland","a","Fish Meat Eggs","Meat","Fish‚ Meat‚ Eggs,Meat,Poultry",37,"d","fi:kanan-jauheliha","",""
20043537,"Puolikarkea vehnäjauho","2kg","Paper","Belbake,Lidl","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Flours,Cereal flours,Wheat flours","","fi:Hyvää Suomesta,fi:100-kotimaista-viljaa,fi:valmistettu-suomessa","Finland","a","Cereals and potatoes","Cereals","Cereals and potatoes,Cereals",91,"a-plus","Wheat flours","",""
20064006,"Rasvaton maito","1 L","fi:pahvi","Pohjolan-meijeri","Dairies,Milks,Fresh milks,Skimmed milks","Finland","","Finland","b","Milk and dairy products","Milk and yogurt","Milk and dairy products,Milk and yogurt",56,"c","Skimmed milks","",""
20064013,"Kotimainen Kevytmaito","1 L","Container,Elopak","Pohjolan-meijeri","Dairies,Milks","Finland","Source of proteins,FSC,FSC Mix,High in calcium,High proteins,fi:Hyvää Suomesta,Fsc-c081801,fi:100-kotimaista-maitoa","Finland","unknown","Milk and dairy products","Milk and yogurt","Milk and dairy products,Milk and yogurt",57,"c","Milks","",""
20566555,"Pinaattikeitto","300 g","Bowl","Koskikylan","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Meals,Soups,Vegetable soups","","fi:good-from-finland","Finland","c","Fruits and vegetables","Soups","Fruits and vegetables,Soups",83,"a","Vegetable soups","",""
20691974,"Chocolat noir menthe","125 g","Paper,Container","J-d-gross,Lidl","Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates","","Fair trade,Fairtrade International,Green Dot","Finland","e","Sugary snacks","Chocolate products","Sugary snacks,Chocolate products",44,"d","Dark chocolates","",""
4056489062998,"Miedosti Suolattu Kanan Ohut Fileeleike","410 g","Plastic","Kanamestari,Atria","Meats and their products,Meats,Chicken and its products,Poultries,Chickens,Chicken breasts","Finland","No antibiotics,Chickens raised without antibiotics,fi:Hyvää Suomesta,fi:Sydänmerkki","Finland","b","Fish Meat Eggs","Meat","Fish‚ Meat‚ Eggs,Meat,Poultry",42,"d","Chicken breasts","",""
47631977,"Mini-leipäjuusto","120 g","Plastic","Pirkka","Dairies,Fermented foods,Fermented milk products,Cheeses","","No lactose,fi:Hyvää Suomesta","Finland","unknown","Milk and dairy products","Cheese","Milk and dairy products,Cheese",55,"c","Cheeses","",""
