,code,product_name,quantity,packaging_en,brands_en,categories_en,origins_en,labels_en,countries_en,nutriscore_grade,pnns_groups_1,pnns_groups_2,food_groups_en,environmental_score_score,environmental_score_grade,main_category_en,carbon-footprint_100g,carbon-footprint-from-meat-or-fish_100g
12243,6408653126469,Hyvin sokeroimaton proteiinijuoma kaakao,250 ml,"Cardboard,Paperboard",Juustoportti,"Beverages,Dairies,Dairy drinks,Flavoured milks,Chocolate milks,Dietary supplements,Bodybuilding supplements,Protein shakes",Finland,"Source of proteins,FSC,FSC Mix,High proteins,No lactose",Finland,b,Milk and dairy products,Milk and yogurt,"Beverages,Unsweetened beverages",,,Protein shakes,,
12244,6410405082657,Suomalainen kevytmaito,1 L,"Cardboard,Paperboard",Pirkka,"Dairies,Milks",Finland,fi:Hyvää Suomesta,Finland,b,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Milks,,
12245,6410405121080,Suomalainen laktoositon kuohukerma,5 dl,"Tetra Pak,Tetra Rex,fi:c81-pap-ldpe",Pirkka,"Dairies,Creams",Finland,"No lactose,fi:Hyvää Suomesta",Finland,d,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Creams,,
12246,6410405140586,Suomalainen laktoositon kermaviili,200 g,"Metal,Plastic,Recyclable Metals,Aluminium,Ps-polystyrene",Pirkka,"Dairies,Fermented foods,Fermented milk products,Creams,Kermaviili",Finland,"No lactose,fi:Hyvää Suomesta",Finland,c,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Kermaviili,,
12247,6410405169617,Turkkilainen jogurtti,200 g,"Plastic,Metal,Recyclable Metals,Aluminium,Ps-polystyrene",Pirkka,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts",Finland,"No lactose,fi:Hyvää Suomesta",Finland,c,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Yogurts,,
12248,6410405224613,Suomalainen rasvaton piimä,1 L,"Multilayer-composite,Tetra Pak,Tetra Rex",Pirkka,"Beverages,Dairies,Fermented foods,Fermented milk products,Dairy drinks,Fermented drinks,Fermented milk drinks,Buttermilks",Finland,,Finland,b,Milk and dairy products,Milk and yogurt,"Beverages,Unsweetened beverages",,,Buttermilks,,
12249,6410405267825,Suomalainen kevytmaito,"0,5 l","Multilayer-composite,Tetra Pak,Tetra Rex",Pirkka,"Dairies,Milks",Finland,"FSC,FSC Mix",Finland,b,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Milks,,
12250,6410405267856,Suomalainen rasvaton maito,"0,5 l","Multilayer-composite,Tetra Pak,Tetra Rex",Pirkka,"Dairies,Milks,Skimmed milks",Finland,"FSC,FSC Mix",Finland,b,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Skimmed milks,,
12251,6413300010541,AB-Piimää Suomesta,1 L,"Elopak,Multilayer-composite,Pure-Pak,Cardboard,Paperboard,Pure-Pak Classic",Arla,"Beverages,Dairies,Fermented foods,Fermented milk products,Dairy drinks,Fermented drinks,Fermented milk drinks,Kefir",Finland,"Low lactose - Finland,fi:Hyvää Suomesta",Finland,b,Milk and dairy products,Milk and yogurt,"Beverages,Unsweetened beverages",,,Kefir,,
12252,6413300015058,Luomu Rasvatonta maito suomesta,,"Elopak,Multilayer-composite,Pure-Pak,Pure-Pak Classic",Arla,"Dairies,Milks,Skimmed milks",Finland,"Organic,EU Organic,FI-EKO-201",Finland,b,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Skimmed milks,,
12253,6413300015249,Luomu Vanhanajan Täysmaito,1 L,Wood-based-plastic,Arla,"Dairies,Milks,Pasteurised milks,Whole milks,Whole pasteurised milks",Finland,"Organic,EU Organic,FI-EKO-201",Finland,c,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Whole pasteurised milks,,
12254,6413300018165,Laktoositon Kevytmaitojuoma,1 L,Elopak,Arla,"Dairies,Milks,Lactose-free milk",Finland,fi:Hyvää Suomesta,Finland,b,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Lactose-free milk,,
12255,6413300025248,Luonto+ viili persikka-mango,150 g,"Plastic,Metal,Recyclable Metals,Aluminium,Cardboard,Paperboard,Ps-polystyrene",Arla,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Fermented dairy desserts with fruits,Yogurts,Viili,se:Filmjölk med frukt",Finland,"No added sugar,No lactose,fi:Hyvää Suomesta,fi:Sydänmerkki",Finland,b,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,se:Filmjölk med frukt,,
12256,6417781006215,Laktoositon kuohukerma,0.5 l,"Tetra Pak,Cardboard,Paperboard,Tetra Rex",Satamaito,"Dairies,Creams,Unfermented creams",Finland,"No lactose,fi:Hyvää Suomesta",Finland,d,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Unfermented creams,,
12257,6417781007250,Kevytmaito,1 L,"Cardboard,Paperboard",Satamaito,"Dairies,Milks,Pasteurised milks",Finland,"FSC,FSC Mix,fi:Hyvää Suomesta",Finland,b,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Pasteurised milks,,
12258,6417781007502,Rasvaton piimä,1 L,"Multilayer-composite,Tetra Pak,Tetra Rex",Satamaito,"Beverages,Dairies,Fermented foods,Fermented milk products,Dairy drinks,Fermented drinks,Fermented milk drinks,Kefir",Finland,"Low or no fat,FSC,FSC Mix,No fat,fi:Hyvää Suomesta",Finland,b,Milk and dairy products,Milk and yogurt,"Beverages,Unsweetened beverages",,,Kefir,,
12259,6417781007526,Laktoositon piimä,1 L,"Multilayer-composite,Tetra Pak,Tetra Rex",Satamaito,"Beverages,Dairies,Fermented foods,Fermented milk products,Dairy drinks,Fermented drinks,Fermented milk drinks,Buttermilks,Kefir",Finland,"Low or no fat,No fat,No lactose,fi:Hyvää Suomesta",Finland,b,Milk and dairy products,Milk and yogurt,"Beverages,Unsweetened beverages",,,Kefir,,
12260,6417781007601,ab Piimä,1 L,"Multilayer-composite,Tetra Pak,Tetra Rex",Satamaito,"Beverages,Dairies,Fermented foods,Fermented milk products,Dairy drinks,Fermented drinks,Fermented milk drinks,Buttermilks",Finland,"FSC,FSC Mix,fi:Hyvää Suomesta",Finland,b,Milk and dairy products,Milk and yogurt,"Beverages,Unsweetened beverages",,,Buttermilks,,
12261,6417781008851,Laktoositon Maitojuoma,1 L,"Multilayer-composite,Tetra Pak,Tetra Rex",Satamaito,"Beverages,Dairies,Dairy drinks,Milks",Finland,"FSC,FSC Mix,No lactose,fi:Hyvää Suomesta",Finland,b,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Milks,,
12265,6430015532137,Vähälaktoosinen kevytmaito,1 L,"Tetra Pak,Tetra Brik Aseptic","Maire,Kaslink","Dairies,Milks",Finland,"Low lactose - Finland,fi:Hyvää Suomesta",Finland,b,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Milks,,
12271,6438460292804,Kevytmaito,1 L,"Tetra Pak,Paper and plastic",Kotimaista,"Dairies,Milks,Pasteurised milks",Finland,"FSC,FSC Mix,fi:Hyvää Suomesta",Finland,b,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Pasteurised milks,,
12324,6413300019117,Lempi Turkkilainen jogurtti,300g,Plastic,Arla,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts",Finland,"No lactose,fi:Hyvää Suomesta",Finland,c,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Yogurts,,
12328,6414893386181,Kermaviili,200g,Plastic,Kotimaista,"Dairies,Fermented foods,Fermented milk products,Creams,Fermented creams,Sour creams,Kermaviili",Finland,fi:Hyvää Suomesta,Finland,d,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Kermaviili,,
12408,4056489253006,"Kreikkalainen jogurtti, maustamaton 6%",500 g,"Metal,Plastic",milbona,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts,Greek-style yogurts",,No lactose,Finland,c,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Greek-style yogurts,,
12465,6408430000500,Kahvimaito,1 L,"Cardboard,Paperboard",Valio,"Dairies,Milks,Lactose-free milk",,"No lactose,fi:Hyvää Suomesta",Finland,b,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Lactose-free milk,,
12467,6408430001415,Kuohukerma,2 dL,"Paper and plastic,fi:fully-plant-based,Tetra Rex",Valio,"Dairies,Creams",,fi:Hyvää Suomesta,Finland,d,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Creams,,
12469,6408430002009,Valiojogurtti Mansikka,200 g,Plastic,Valio,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Fermented dairy desserts with fruits,Yogurts,Fruit yogurts,Flavoured fermented dairy desserts,Flavoured yogurts",,Calcium source,Finland,b,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Flavoured yogurts,,
12470,6408430002030,Valiojogurtti Hedelmäpommi,200 g,Plastic,Valio,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Fermented dairy desserts with fruits,Yogurts,Fruit yogurts",,Calcium source,Finland,b,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Fruit yogurts,,
12471,6408430002283,Valiojogurtti Mustikka,200 g,Plastic,Valio,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts",,"No preservatives,Vitamin D source",Finland,b,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Yogurts,,
12473,6408430011667,"Maito, kevyt",1 I,"Tetra Pak,Container,Tetra Brik Aseptic",Valio,"Dairies,Milks",,"fi:Hyvää Suomesta,fi:hyla,fi:uht",Finland,b,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Milks,,
12474,6408430014729,Ruokakerma 15% laktoositon,2 dL,da:c-pap-84,Valio,"Dairies,Creams",,"No lactose,fi:Hyvää Suomesta,fi:eila",Finland,d,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Creams,,
12475,6408430018727,Gefilus Kefir juotava välipala vadelma,1 L,fi:pahvi,Valio,"Beverages,Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Dairy drinks,Fermented dairy desserts,Fermented drinks,Yogurts,Fermented milk drinks,Drinkable-yogurts",,"No lactose,fi:Hyvää Suomesta",Finland,c,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Drinkable-yogurts,,
