,Barcode,Product name,Brand,Quantity,Packaging material,Origin,Label,Sale countries,Product group,Food group,Product main category,Environmental score,Environmental score grade,Carbon footprint 1kg,Sustainable footprint score
4156,6416453014602,Kismet Islanti,Fazer,55g,"Plastic,Pp-polypropylene,Wrapper",Origin unknown,EAC,Finland,Chocolate products,"Sugary snacks,Sweets",Chocolate confectioneries filled with wafer,No information available,No information available,2.95,70.7
4157,6416453015111,Karl Fazer Maitosuklaata ja vadelmajogurttitäytettä,Fazer,121g,"Plastic,Pp-polypropylene",Origin unknown,EAC,Finland,Chocolate products,"Sugary snacks,Chocolate products",Filled milk chocolates,No information available,No information available,2.95,70.7
4158,6416453015241,Karl Fazer Dumle,Fazer,200g,"Metal,Paper,Recyclable Metals,Aluminium,Film,Wrapper",Origin unknown,EAC,Finland,Chocolate products,"Sugary snacks,Chocolate products",Milk chocolate bar,No information available,No information available,2.95,70.7
4159,6416453015296,Karl Fazer Appelsiinikrokantti Maitosuklaa,Fazer,200g,"Metal,Paper,Recyclable Metals,Aluminium",Origin unknown,EAC,Finland,Chocolate products,"Sugary snacks,Chocolate products",Filled milk chocolates,No information available,No information available,2.95,70.7
4160,6416453016439,Winter Edition Piparkakku Maitosuklaa,Fazer,200g,"Metal,Paper,Recyclable Metals,Aluminium",Origin unknown,EAC,Finland,Chocolate products,"Sugary snacks,Chocolate products",Milk chocolates,No information available,No information available,2.95,70.7
4161,6416453017467,Maxi Pätkis Crunchy,Fazer,55g,"Plastic,Pp-polypropylene",Origin unknown,fi:vastuullinen-kaakao,Finland,Chocolate products,"Sugary snacks,Biscuits and cakes",Bars-covered-with-chocolate,No information available,No information available,2.5,75.2
4162,6416453018808,"Karl Fazer omena, krokantti & hasselpähkinä",Fazer,200 g,"Metal,Paper,Recyclable Metals,Aluminium",Origin unknown,EAC,Finland,Chocolate products,"Sugary snacks,Chocolate products",Chocolates with hazelnuts,No information available,No information available,2.95,70.7
4163,6416453033559,Pihlaja Kettukarkki,Fazer,180g,"Plastic,Other-plastics",Origin unknown,"Vegetarian,Vegan,Avainlippu",Finland,Sweets,"Sugary snacks,Sweets",Gummi candies,No information available,No information available,2.95,70.7
4164,6416453034112,Remix,Fazer,350 g,"Plastic,Other-plastics",Origin unknown,Avainlippu,Finland,Sweets,"Sugary snacks,Sweets",Candies,No information available,No information available,2.95,70.7
4165,6416453054691,Jaffa Vihreät Kuulat,Fazer,24kpl/300g,"Plastic,Cardboard,Non-corrugated cardboard,Pp-polypropylene",Origin unknown,Avainlippu,Finland,Biscuits and cakes,"Sugary snacks,Biscuits and cakes",Jaffa cakes,No information available,No information available,2.5,75.2
4166,6416453061552,Tutti Frutti Filled Liquorice,"Tutti-frutti,Fazer",120g,Plastic-bag,Origin unknown,"Vegetarian,Vegan,No gelatin",Finland,Sweets,"Sugary snacks,Sweets",Candies,No information available,No information available,2.95,70.7
4167,6416453064058,Vihreitä kuulia hedelmämakeinen,Fazer,180g,"Plastic,Bag,Other-plastics",Origin unknown,"Vegetarian,Vegan,Avainlippu",Finland,Sweets,"Sugary snacks,Sweets",Fruit jellies,No information available,No information available,2.95,70.7
4168,6416453066403,Tutti Frutti Summer Rings,Fazer,180 g,"Plastic,Other-plastics",Origin unknown,"Vegetarian,Vegan,Avainlippu,Green Dot,No artificial colors,No gelatin",Finland,Sweets,"Sugary snacks,Sweets",Candies,No information available,No information available,2.95,70.7
4169,6416453071537,Julia,Fazer,320g,"Cardboard,Non-corrugated cardboard",Origin unknown,EAC,Finland,Chocolate products,"Sugary snacks,Sweets",Milk chocolate candies,No information available,No information available,2.95,70.7
